,source,target,value
0,Alice,Rabbit,90
1,Alice,Duchess,229
2,Alice,Mouse,110
3,Dodo,Mouse,10
4,Dodo,Lory,6
5,Eaglet,Lory,6
6,Alice,Eaglet,5
7,Alice,Lory,28
8,Lory,Mouse,29
9,Duck,Mouse,9
10,Alice,Dodo,35
11,Dodo,Eaglet,11
12,Pat,Rabbit,9
13,Bill,Rabbit,4
14,Alice,Bill,7
15,Alice,Caterpillar,172
16,Alice,Queen,223
17,Alice,Cat,131
18,Cat,Hatter,6
19,Alice,Hatter,201
20,Dormouse,Hatter,67
21,Alice,Dormouse,120
22,Dormouse,Queen,22
23,Alice,Knave,11
24,Knave,Queen,6
25,Duchess,Rabbit,5
26,Cat,Queen,13
27,Cat,Duchess,6
28,Duchess,Queen,5
29,Gryphon,Queen,27
30,Alice,Gryphon,183
31,Gryphon,Turtle,3
32,Alice,Turtle,6
33,Caterpillar,Gryphon,5
34,Alice,King,24
35,King,Rabbit,4
36,Hatter,Rabbit,3
37,Dormouse,King,9
38,Hatter,King,19
39,Hatter,Queen,22
40,Duchess,Hatter,4
41,King,Queen,4
42,Bill,Queen,6
43,Mouse,Queen,6
